Date, Close/Last, Volume, Open, High, Low
04/03/2020, $124.52, 37347390, $125, $131.29, $122.5
04/02/2020, $123.27, 42372380, $128.51, $136.68, $120.0204
04/01/2020, $130.7, 41899750, $138.91, $144.38, $130
03/31/2020, $149.14, 29954050, $155, $160.64, $149
03/30/2020, $152.28, 51052460, $153.81, $153.81, $140.68
03/27/2020, $162, 47880170, $172, $172.92, $155.5401
03/26/2020, $180.55, 63504050, $172.29, $186.48, $167.18
03/25/2020, $158.73, 77825910, $154.9, $174.77, $141
03/24/2020, $127.68, 43683120, $123.68, $127.96, $116.13
03/23/2020, $105.62, 46140130, $98.75, $114.49, $93.56
03/20/2020, $95.01, 41370710, $99.85, $107, $94.28
03/19/2020, $97.71, 40210590, $98.8, $103.57, $90.35
03/18/2020, $101.89, 61943230, $99.86, $107.85, $89
03/17/2020, $124.14, 54492220, $132.51, $134.96, $101.25
03/16/2020, $129.61, 26844390, $149.42, $151, $128.76
03/13/2020, $170.2, 21168470, $174.97, $178.28, $161.3755
03/12/2020, $154.84, 31734390, $160.53, $189.85, $154.813
03/11/2020, $189.08, 28571910, $222.99, $226.99, $187
03/10/2020, $231.01, 13059630, $237, $237.83, $215
03/09/2020, $227.17, 11585500, $238.004, $241.48, $224.37
03/06/2020, $262.33, 12861830, $253.7, $264.29, $249.8
03/05/2020, $260.37, 14669060, $275.79, $276.31, $259.65
03/04/2020, $283.12, 6986113, $284.55, $285.91, $277.01
03/03/2020, $280.62, 7499341, $292, $297.44, $278.08
03/02/2020, $289.27, 11012270, $279.54, $291.7099, $274.29
02/28/2020, $275.11, 15375140, $278.07, $282.86, $269.6
02/27/2020, $287.76, 10982360, $300.37, $301, $284.29
02/26/2020, $305.59, 6996558, $307, $315.22, $304.06
02/25/2020, $304.14, 8052504, $318.26, $320.64, $303.63
02/24/2020, $317.9, 6073231, $320, $321.74, $316.33
02/21/2020, $330.38, 3709888, $334.05, $334.6599, $330.23
02/20/2020, $336.28, 2807518, $338.29, $341.24, $335.39
02/19/2020, $338.3, 4935730, $338.12, $341.4742, $335.861
02/18/2020, $338.88, 2908141, $338.77, $339.99, $336.1
02/14/2020, $340.49, 4199751, $342.3, $344.5, $338
02/13/2020, $342.82, 3783073, $344.32, $347.89, $342.63
02/12/2020, $347.45, 4421510, $346.42, $349.95, $345.85
02/11/2020, $344.42, 5311518, $347.64, $348.0745, $342.1
02/10/2020, $344.67, 5876407, $337.22, $345.94, $336.3201
02/07/2020, $336.75, 5337796, $340.37, $340.74, $335.69
02/06/2020, $341.43, 12845460, $330.91, $343.44, $325.66
02/05/2020, $329.55, 6071783, $320.5, $329.68, $319.23
02/04/2020, $317.94, 3779766, $318.28, $319.48, $315.03
02/03/2020, $316, 4847667, $318.75, $320.7399, $314.88
01/31/2020, $318.27, 4999608, $321.75, $321.93, $316.99
01/30/2020, $323.3, 6021977, $320.5, $325.35, $317.635
01/29/2020, $322.02, 12458420, $324.35, $327.175, $319.14
01/28/2020, $316.56, 5502155, $318.05, $319.355, $314
01/27/2020, $316.6, 7468146, $316.21, $321.2564, $314.5819
01/24/2020, $323.05, 17798200, $322, $326.2, $312.51
01/23/2020, $317.79, 9702076, $308.5, $318.17, $307.7
01/22/2020, $309, 18792600, $309.82, $312.8399, $302.72
01/21/2020, $313.37, 19317990, $322.6, $326.5999, $305.75
01/17/2020, $324.15, 11061720, $332.39, $332.5, $323
01/16/2020, $332, 4024079, $331.05, $332.87, $329.31
01/15/2020, $329.8, 4578332, $332.35, $333.11, $329.69
01/14/2020, $332.35, 6952018, $330.76, $335.35, $328.28
01/13/2020, $330.22, 5655345, $332.4, $334.1, $330.08
01/10/2020, $329.92, 7170124, $335.56, $337.7, $329.4548
01/09/2020, $336.34, 8183707, $334.95, $341.73, $332.05
01/08/2020, $331.37, 8246250, $332.4, $334.03, $329.6
01/07/2020, $337.28, 9942277, $334.26, $344.19, $330.71
01/06/2020, $333.74, 5357973, $329.3, $334.86, $327.88
01/03/2020, $332.76, 3878374, $330.63, $334.89, $330.3
01/02/2020, $333.32, 4548221, $328.55, $333.35, $327.7
12/31/2019, $325.76, 4965226, $325.41, $326.57, $323.32
12/30/2019, $326.4, 4528004, $330.5, $330.6299, $325.7127
12/27/2019, $330.14, 4128140, $330.2, $333.65, $329.17
12/26/2019, $329.92, 4601222, $332.7, $333.36, $329.3
12/24/2019, $333, 4120051, $339.51, $339.75, $332.62
12/23/2019, $337.55, 9539569, $336.75, $340.5899, $334.2
12/20/2019, $328, 9493539, $334.62, $335.5, $328
12/19/2019, $333.5, 5497043, $332.9, $334.81, $330.98
12/18/2019, $330.68, 7032362, $328.72, $335.25, $328.14
12/17/2019, $327, 13533830, $322.06, $330.95, $320.61
12/16/2019, $327, 16525620, $328.53, $336.233, $326.43
12/13/2019, $341.67, 4530563, $346.3, $349.31, $341.1
12/12/2019, $346.29, 5981408, $348.25, $351.07, $341
12/11/2019, $350, 7375582, $342.1, $350.03, $338.5
12/10/2019, $347.9, 2923209, $350.15, $351.4024, $347.45
12/09/2019, $351.21, 2893651, $352.67, $353.6, $349.57
12/06/2019, $354.09, 2856593, $347.74, $354.4, $347.1104
12/05/2019, $345.68, 4693835, $350.22, $350.42, $345.59
12/04/2019, $348.84, 3016326, $354.7, $355.29, $348.82
12/03/2019, $352.08, 4768261, $352.09, $355.558, $347.61
12/02/2019, $355.18, 4804645, $367.08, $367.38, $355.16
11/29/2019, $366.18, 1390949, $367.5, $368.3, $366.18
11/27/2019, $368, 4152213, $369.96, $371.83, $366.8
11/26/2019, $373.51, 2866703, $373.66, $374.77, $371.36
11/25/2019, $373.13, 3324817, $372.52, $374.3, $369.2
11/22/2019, $371.34, 3915722, $368.27, $373.55, $366.61
11/21/2019, $366.44, 2703757, $369.75, $370.7642, $366.255
11/20/2019, $370.91, 3775225, $366, $370.99, $365.75
11/19/2019, $367, 6674773, $373.51, $374.83, $361.6101
11/18/2019, $369.46, 3824935, $371.67, $375.6026, $367.9
11/15/2019, $371.68, 5496784, $370, $373.48, $369.3
11/14/2019, $367.44, 5343481, $363.1, $368.48, $361.48
11/13/2019, $362.5, 3479746, $361.87, $366.62, $361.1153
11/12/2019, $362.88, 5773506, $366.49, $367.11, $360.01
11/11/2019, $366.96, 11488380, $349.04, $369.75, $345.5643
11/08/2019, $351, 3220608, $356.4, $357, $350.55
11/07/2019, $357.31, 2834543, $356.12, $359.4, $355.05
11/06/2019, $354.19, 3815659, $358.86, $359.4, $353.13
11/05/2019, $358.29, 5468937, $355.23, $361.61, $353.1901
11/04/2019, $351.09, 3703034, $346.46, $351.45, $346.05
11/01/2019, $345.19, 3538185, $340.59, $345.19, $339.5
10/31/2019, $339.91, 3868444, $344.7, $346.06, $339.45
10/30/2019, $346.06, 3997585, $346.63, $350, $343.27
10/29/2019, $348.93, 6113596, $340.19, $349.72, $339.218
10/28/2019, $340.88, 3234472, $341.5, $344.98, $339.49
10/25/2019, $339.83, 4058018, $342.92, $343.37, $338.9
10/24/2019, $344.55, 5414087, $341.7, $345.74, $337.77
10/23/2019, $340.5, 10993360, $345, $350.8, $336.5
